"","V1","V2"
"39567016","pain prospectively predicts alcohol use disorder among people living with hiv a commentary on palfai et al 2024","2024 Nov 20"
"39567005","mpox vaccination uptake in a uk community sample of gay bisexual and other men who have sex with men gbmsm the year following the 2022 clade iib mpox outbreak","2024 Nov 19"
"39566892","herpes vegetans mimicking penile malignancy in a patient living with human immunodeficiency virus","2024 Nov 21"
"39566736","documento de expertos de la aedv sobre el manejo de infecciones ven reas ulcerativas","2024 Nov 18"
"39566586","high low density lipoprotein cholesterol levels in people with hiv by individual cardiovascular risk a retrospective observational study","2024 Nov 18"
"39566489","accuracy of an activity monitor in assessing physical activity of hospitalized geriatric rehabilitation patients with slow walking speed using a walking aid","2024 Nov 20"
"39566475","prep initiation and adherence among black cisgender women in mississippi the role of hiv and prep stigma and social support","2024 Jan-Dec"
"39566258","tethered to this ball and chain women s perspectives on bodily agency within opioid treatment programs","2024 Nov 19"
"39566234","lived experiences and illness perceptions of older adults with age related hearing loss before the use of hearing aids an interpretative phenomenological study","2024 Nov 19"
"39566190","health disparities and health literacy challenges experienced by individuals with hearing loss a scoping review","2024 Nov 17"
"39566166","nucleic acid amplification testing using dried blood spots to confirm the diagnosis of hiv 1 in adults","2024 Nov 17"
"39566074","role of vitamin d metabolism in regulating bone turnover in adolescents with perinatally acquired hiv in southern africa a cross sectional study in zimbabwe and zambia","2024 Nov 20"
"39566053","community versus facility based services to improve the screening of active hepatitis c virus infection in cambodia the anrs 12384 cam c cluster randomized controlled trial protocol for a mixed methods study","2024 Nov 20"
"39566048","young adult centered healthforce training yacht program to increase hiv testing and pre exposure prophylaxis referrals among young sexual minority men in florida protocol for a type 2 implementation effectiveness hybrid trial with a stepped wedge design","2024 Nov 20"
"39566042","awareness knowledge and willingness to take prep among black students attending historically black colleges and universities and minority serving institutions","2024 Nov 20"
"39565825","learning patterns of hiv 1 resistance to broadly neutralizing antibodies with reduced subtype bias using multi task learning","2024 Nov 20"
"39565819","time from treatment initiation to hiv viral suppression in public care facilities in brazil a nationwide linked databases cohort","2024"
"39565800","cognitive dissonance in tuberculosis stigma a mixed methods analysis of tuberculosis stigma measurement in south africa","2024"
"39565750","assessment of risk factors for virological nonsuppression following switch to dolutegravir and lamivudine or bictegravir emtricitabine and tenofovir alafenamide fumarate in a real world cohort of treatment experienced adults living with hiv","2024"
"39565725","knowledge attitudes and perspectives of women who have migrated from sub saharan africa to france toward hiv pre exposure prophylaxis in a family planning center","2024 Nov"
"39565587","multiplexed dual color fluorescence based distinction between nuclear trapping and translocation of foxo3","2025"
"39565453","ai deep learning algorithm for detecting pulmonary nodules on ultra low dose ct in an emergency setting a reader study","2024 Nov 20"
"39565219","increased human herpesvirus 8 neutralizing response during remission from kaposi s sarcoma","2024 Nov"
"39565132","development of ptxd phi as a new dominant selection system for genetic manipulation in cryptococcus neoformans","2024 Nov 20"
"39564653","effectiveness safety and patient reported outcomes of treatment with bictegravir emtricitabine tenofovir alafenamide fixed dose combination in people living with hiv in argentina the bictarg cohort","2024 Nov 20"
"39564498","enhancing safe medication use in home care insights from informal caregivers","2024"
"39564477","brief report depression substance use and factors associated with sexual risk behaviors among adults living with hiv in the asia pacific region","2024 Aug 15"
"39564472","curcumin alleviates inflammatory effects of ketamine anesthesia in postnatal rats","2024"
"39564363","associations of stigma loneliness and treatment self regulation with hiv medication adherence among individuals with substance use disorder using a mobile health application","2024"
"39564291","patterns and characteristics of amphetamine type stimulant use in a north eastern state of india a cross sectional study","2024 Apr 4"
"39564262","chemsex and beyond a study of factors associated with substance use among men who have sex with men and transgender women in southern vietnam to develop informed hiv and sti prevention and intervention programs","2024 Jul 31"
"39564241","seroprevalence of hiv hcv and hbv the associated psychiatric co morbidities among injection drug users in kashmir a hospital based cross sectional study","2024 Jun 16"
"39564222","sensory reactivity through the lived experiences of parents of children with autism spectrum disorder an exploratory phenomenological qualitative study","2024 Sep 19"
"39564150","understanding typology of preexposure prophylaxis prep persistence trajectories among male prep users in the united states","2024 Nov"
"39564149","t cell and soluble co inhibitory receptor expression in patients with visceral leishmaniasis are markers of treatment response and clinical outcome","2024 Nov"
"39564013","evaluation of lipid profile management in coronary artery disease patients on statin therapy a single centre retrospective observational study","2024 Oct"
"39563891","dysfunctional bronchoalveolar effector memory cd8 t cells in tuberculosis exposed people living with antiretroviral na ve hiv infection","2024 Nov 15"
"39563829","invention of vh 937 a potent hiv 1 maturation inhibitor with the potential for infrequent oral dosing in humans","2024 Nov 14"
"39563795","optimization of a piperidine cd4 mimetic scaffold sensitizing hiv 1 infected cells to antibody dependent cellular cytotoxicity","2024 Nov 14"
"39563528","low level mdm2 amplification by fish an institutional experience with a diagnostic dilemma","2024 Nov 20"
