"Title","PublicationDate","Year"
"necrotizing ulcerative gingivitis and cancrum oris noma in ibadan nigeria","1990 Dec",1990
"human immunodeficiency virus hiv and mycobacterium tuberculosis tb","1990 Dec",1990
"sexually transmitted diseases in rape victims","1990 Dec",1990
"detection of treponemal dna in the csf of patients with syphilis and hiv infection using the polymerase chain reaction","1990 Dec",1990
"definition of two distinct types of aids associated non hodgkin lymphoma","1990 Dec",1990
"rehabilitation of patients with human immunodeficiency virus hiv patient confidentiality v treatment team right to know","1990 Dec",1990
"aggressive non hodgkin s lymphomas in aids the university of colorado experience","1990 Dec",1990
"elevated serum concentrations of ige antibodies to environmental antigens in hiv seropositive male homosexuals","1990 Dec",1990
"hiv and the dermatologic surgeon","1990 Dec",1990
"hiv associated myocarditis pathology and immunopathology","1990 Dec",1990
"current approach to the treatment of human immunodeficiency virus associated weight loss pathophysiologic considerations and emerging management strategies","1990 Dec",1990
"megestrol acetate for treatment of anorexia and cachexia associated with human immunodeficiency virus infection","1990 Dec",1990
"non aids associated kaposi s sarcoma classical and endemic african types treatment with low doses of recombinant interferon alpha","1990 Dec",1990
"long term combined rifn alpha 2a and zidovudine therapy for hiv associated kaposi s sarcoma clinical consequences and side effects","1990 Dec",1990
"depression in the context of human immunodeficiency virus infection implications for treatment","1990 Dec",1990
"different effect of benzylacyclouridine on the toxic and therapeutic effects of azidothymidine in mice","1990 Dec 1",1990
"benzylacyclouridine reverses azidothymidine induced marrow suppression without impairment of anti human immunodeficiency virus activity","1990 Dec 1",1990
"monocytoid b cell lymphoma in a patient with human immunodeficiency virus infection demonstration of human immunodeficiency virus sequences in paraffin embedded lymph node sections by polymerase chain reaction amplification","1990 Dec",1990
"severe anemia is an important negative predictor for survival with disseminated mycobacterium avium intracellulare in acquired immunodeficiency syndrome","1990 Dec",1990
"kaposi s sarcoma of the rectum in patients with the acquired immunodeficiency syndrome","1990 Dec",1990
"aids minority patients and doctors what s the risk who s talking","1990 Dec",1990
"annual summary of vital statistics 1989","1990 Dec",1990
"hospital upheld on aids test","1990 Dec",1990
"effect of continuous infusion zidovudine therapy on neuropsychologic functioning in children with symptomatic human immunodeficiency virus infection","1990 Dec",1990
"risks of human immunodeficiency virus infection to patients and healthcare personnel","1990 Dec",1990
"identification of a low affinity subset of protamine reactive igm antibodies present in normal deficient in aids sera implications for hiv latency","1990 Dec",1990
"angiocentric immunoproliferative lesion t cell non hodgkin s lymphoma and the acquired immune deficiency syndrome a case report and review of the literature","1990 Dec 1",1990
"treating systemic fungal infections in aids patients prolonging life against the odds","1990 Dec",1990
"cd4 independent infection by human immunodeficiency virus type 1 after phenotypic mixing with human t cell leukemia viruses","1990 Dec",1990
"intracellular interaction of human immunodeficiency virus type 1 arv 2 envelope glycoprotein gp160 with cd4 blocks the movement and maturation of cd4 to the plasma membrane","1990 Dec",1990
"viral envelope gene is involved in macrophage tropism of a human immunodeficiency virus type 1 strain isolated from brain tissue","1990 Dec",1990
"human immunodeficiency virus rev protein recognizes a target sequence in rev responsive element rna within the context of rna secondary structure","1990 Dec",1990
"identification of individual human immunodeficiency virus type 1 gp120 amino acids important for cd4 receptor binding","1990 Dec",1990
"sexually transmitted diseases of the colon rectum and anus the challenge of the nineties","1990 Dec",1990
"effect of human immunodeficiency virus hiv infection on the course of syphilis and on the response to treatment","1990 Dec 1",1990
"aids related experiences and practices of primary care physicians in los angeles 1984 89","1990 Dec",1990
"hiv seroconversion in two homosexual men after receptive oral intercourse with ejaculation implications for counseling concerning safe sexual practices","1990 Dec",1990
"evidence for gonococcal transmission within a correctional system","1990 Dec",1990
"association of hepatitis b surface antigen and core antibody with acquisition and manifestations of human immunodeficiency virus type 1 hiv 1 infection","1990 Dec",1990
"expression of gag precursor protein and secretion of virus like gag particles of hiv 2 from recombinant baculovirus infected insect cells","1990 Dec",1990
"human recombinant interleukin 2 induces maturation and activation signals for feline eosinophils in vivo","1990 Dec",1990
"frequency of indeterminate western blot tests in healthy adults at low risk for human immunodeficiency virus infection the niaid aids vaccine clinical trails network","1990 Dec",1990
"confocal microscopic detection of human immunodeficiency virus rna producing cells","1990 Dec",1990
"quantitative detection of brain aberrations in human immunodeficiency virus type 1 infected individuals by magnetic resonance imaging","1990 Dec",1990
"azt demonstrates anti hiv 1 activity in persistently infected cell lines implications for combination chemotherapy and immunotherapy","1990 Dec",1990
"astrocyte conditioned medium stimulates hiv 1 expression in a chronically infected promonocyte clone","1990 Dec",1990
"role of physicians key in national aids strategy ottawa says","1990 Dec 1",1990
"zidovudine retrovir update","1990 Dec 1",1990
"regulation of the human neurotropic virus promoter by jcv t antigen and hiv 1 tat protein","1990 Dec",1990
"diagnosis of epstein barr virus infection in hairy leukoplakia by using nucleic acid hybridization and noninvasive techniques","1990 Dec",1990
"quantification of human cytomegalovirus viremia by using monoclonal antibodies to different viral proteins","1990 Dec",1990
"immune responses to fractionated cytomegalovirus cmv antigens after hiv infection loss of cellular and humoral reactivity to antigens recognized by hiv cmv individuals","1990 Dec",1990
"topoisomerase i activity associated with human immunodeficiency virus hiv particles and equine infectious anemia virus core","1990 Dec",1990
"secondary t cell lymphoproliferation after marrow transplantation","1990 Dec",1990
"anal ulcerations due to cytomegalovirus in patients with aids report of six cases","1990 Dec",1990
"intestinal perforation due to cytomegalovirus infection in patients with aids","1990 Dec",1990
"aids and pedodontics the real risk and its prevention","1990 Dec",1990
"cd16 nk cells decrease in all stages of hiv infection through a selective depletion of the cd16 cd8 cd3 subset","1990 Dec",1990
"comments on the article streetwork and aids experiences and considerations from a sociopedagogical viewpoint by e riegel das ffentliche gesundheitswesen 52 1990 334 337","1990 Dec",1990
"multiple spine surgical failures the value of adjunctive psychological assessment","1990 Dec",1990
"amantadine hydrochloride in hiv treatment","1990 Dec",1990
"markers of hepatitis b and hepatitis c viruses in blood donors with positive or indeterminate immunoblot tests for human retroviruses","1990 Dec 1",1990
"differential regulation of human immunodeficiency viruses hivs a specific regulatory element in hiv 2 responds to stimulation of the t cell antigen receptor","1990 Dec",1990
"two distinct lymphocyte populations mediate simian immunodeficiency virus envelope specific target cell lysis","1990 Dec 1",1990
"determinants of self perceived risk for aids","1990 Dec",1990
"hiv seroprevalence among male ivdus in houston texas","1990 Dec",1990
"diabetes mellitus induced by pentamidine without previous episodes of hypoglycemia in patients with aids","1990 Dec",1990
"oral hygiene habits of periodontal patients in relation to age","1990 Dec",1990
"inhibition of hiv infectivity by lactoperoxidase produced hypothiocyanite","1990 Dec",1990
"phase i ii study of trichosanthin treatment of hiv disease","1990 Dec",1990
"hiv diagnostics in the child methodology rational use and value","1990 Dec",1990
"immune activation and decreased tryptophan in patients with hiv 1 infection","1990 Dec",1990
"identification of regions of hiv 1 p24 reactive with sera which give indeterminate results in electrophoretic immunoblots with the help of long synthetic peptides","1990 Dec",1990
"arthritis associated with aids","1990 Dec",1990
"international perspective on the impact of aids and national aids education policies and programmes","1990 Dec",1990
"comparison of dose distribution by means of bolus versus water bath phantom techniques in treatment of cutaneous sarcoma of an extremity","1990 Dec",1990
"liability of the hospital for hiv infected preserved blood","1990 Dec",1990
"ambulatory and in hospital treatment of hiv infected children","1990 Dec",1990
"current trends in hiv and aids","1990 Dec",1990
"zidovudine treatment of an infant with congenital human immunodeficiency virus infection","1990 Dec",1990
"evaluation of a hospital admission hiv antibody voluntary screening program","1990 Dec",1990
"failure to maintain high dose treatment regimens during long term use of zidovudine in patients with symptomatic human immunodeficiency virus type 1 infection","1990 Dec",1990
"hla class ii glycoprotein expression by monocytes from hiv infected individuals differences in response to interferon gamma","1990 Dec",1990
"preparation and crystallization of a human immunodeficiency virus p24 fab complex","1990 Dec",1990
"long term follow up of 120 patients with aids related kaposi s sarcoma treated with interferon alpha 2a","1990 Dec",1990
"recent advances in aids related kaposi s sarcoma","1990 Dec",1990
"detection and antigenic distribution of hepatitis b virus in liver tissue and its relation to other serological markers of viral replication","1990 Dec",1990
"synthesis of n substituted 3 amino 3 deoxythymidines and their biological evaluation against hiv","1990 Dec",1990
"needle sharing practices and risk for aids transmission among intravenous drug users in seattle","1990 Dec",1990
"idiopathic thrombocytopenic purpura in hiv infection therapeutic possibilities of intravenous immunoglobulins","1990 Dec",1990
"evaluation of schoolchildren s knowledge about aids","1990 Dec",1990
"hygienic basis of the prevention of aids review of the literature","1990 Dec",1990
"breastfeeding breast milk banks and human immunodeficiency virus","1990 Dec",1990
"avoiding sexually transmitted diseases","1990 Dec",1990
"absence of antibodies to hiv in short mid and long term institutionalized psychiatric patients in barcelona","1990 Dec",1990
"hiv serology among italian male military recruits at entrance and discharge","1990 Dec",1990
"epidemiological and clinical aspects of mycoses in patients with aids related pathologies","1990 Dec",1990
"bcg vaccination in children","1990 Dec 1",1990
"aids and the status of women challenges and perspectives for the 1990s","1990 Dec-1991 Jan",1990
"professional risk of aids perception and prevention","1990 Dec",1990
"aids fellowship meetings","1990 Dec",1990
"human immunodeficiency virus quantifying the risk of transmission of hiv to dental health care workers","1990 Dec",1990
"medicaments aids to success in endodontics part 2 clinical recommendations","1990 Dec",1990
"women and aids current status of the problem","1990 Dec",1990
"massive hepatic enlargement with fatty change associated with ketoconazole","1990 Dec",1990
"hiv infections in childhood","1990 Dec",1990
"fine analysis of intrathecally synthesized anti hiv igg1 4 by peptide mapping","1990 Dec",1990
"immunological and neuropathological significance of the virchow robin space","1990 Dec",1990
"intrathecal synthesis of soluble class i antigens shla in patients with hiv infection and tuberculous meningitis","1990 Dec",1990
"diagnosis and treatment of hiv associated periodontal disease","1990 Dec",1990
"ethics of research on hiv aids in community based settings","1990 Dec",1990
"trends and risk factors for hiv 1 seropositivity among outpatient children kinshasa zaire","1990 Dec",1990
"diminution of inducible lymphokine activated killer cell activity in individuals with aids related disorders","1990 Dec",1990
"safety and pharmacokinetics of glq223 in subjects with aids and aids related complex a phase i study","1990 Dec",1990
"anti human immunodeficiency virus type 1 activities and pharmacokinetics of novel 6 substituted acyclouridine derivatives","1990 Dec",1990
"novel bacteriological assay for detection of potential antiviral agents","1990 Dec",1990
"accommodating change due to treatment in the method of back projection for estimating hiv infection incidence","1990 Dec",1990
"statistical modelling of the aids epidemic for forecasting health care needs","1990 Dec",1990
"what s new in primary central nervous system lymphomas","1990 Dec",1990
"mutation of conserved n glycosylation sites around the cd4 binding site of human immunodeficiency virus type 1 gp120 affects viral infectivity","1990 Dec",1990
"women and aids","1990 Dec",1990
"aids postage stamps issued 15 march 1990 fight aids worldwide","1990 Dec",1990
"hiv associated periodontal lesions a study of the literature","1990 Dec",1990
"sore throat when to investigate and when to prescribe","1990 Dec",1990
"detection of hiv 2 infection in the gulf region","1990 Dec",1990
"platelet antibodies in serum of patients with human immunodeficiency virus hiv infection","1990 Dec",1990
"oxophenarsine an antisyphilis drug inhibits hiv 1 specific protein synthesis in acutely and persistently infected lymphocytes","1990 Dec",1990
"expression of hiv 1 integrase in e coli immunological analysis of the recombinant protein","1990 Dec",1990
"activation of human immunodeficiency virus type 1 by oxidative stress","1990 Dec",1990
"extensive antigenic mimicry by retrovirus capsid proteins","1990 Dec",1990
"aids risk behavior patterns among intravenous drug users in puerto rico and the united states","1990 Dec",1990
"serum suppressive factors may account for the reduced polymorphonuclear cell function in haemophilia","1990 Dec",1990
"other side of aids","1990 Dec",1990
"functional and morphological findings in early and advanced stages of hiv infection a comparison of 99mtc hmpao spect with ct and mri studies","1990 Dec",1990
"education for health human rights and hiv","1990 Dec",1990
"global aids prevention and control","1990 Dec",1990
"psychosocial issues of hiv aids and the evaluation of prevention and control strategies lisbon 28 may 1 june 1990","1990 Dec",1990
"aids prevention facts from the countries","1990 Dec",1990
"monitoring and documenting community based organization outreach activities for populations at risk for hiv","1990 Dec",1990
"outreach to bar workers in bangkok","1990 Dec",1990
"youths and the galaxy of questions raised by aids which themes to address","1990 Dec",1990
"the prevention of aids among african youths cultural constraints","1990 Dec",1990
"health promotion for young people about the prevention and control of hiv transmission and aids","1990 Dec",1990
"health promotion for the prevention of aids","1990 Dec",1990
"effectiveness of double gloving in otolaryngology","1990 Dec",1990
"design and trials of aids vaccines","1990 Dec",1990
"fluoroquinolone dr 3355 protects human lymphocyte cell lines from hiv 1 induced cytotoxicity","1990 Dec",1990
"sequential autonomic function tests in hiv infection","1990 Dec",1990
"immunodeficiency in hiv 2 infection a community study from guinea bissau","1990 Dec",1990
"lymphocyte population changes in cats naturally infected with feline immunodeficiency virus","1990 Dec",1990
"hiv 1 variability and progression to aids a longitudinal study","1990 Dec",1990
"human immunodeficiency virus hiv circulating immune complexes in infected children","1990 Dec",1990
"major histocompatibility complex genes influence the outcome of hiv infection ancestral haplotypes with c4 null alleles explain diverse hla associations","1990 Dec",1990
"biological criteria for prediction of the clinical course leading to aids","1990 Dec",1990
"hiv 1 infection in a cohort of haemophilic patients","1990 Dec",1990
"human immunodeficiency virus 1 glycoproteins gp120 and gp160 specifically inhibit the cd3 t cell antigen receptor phosphoinositide transduction pathway","1990 Dec",1990
"predicting progression to aids combined usefulness of cd4 lymphocyte counts and p24 antigenemia","1990 Dec",1990
"predicting the progression to aids","1990 Dec",1990
"human immunodeficiency virus and the primary care physician","1990 Dec",1990
"hiv inhibits the early steps of lymphocyte activation including initiation of inositol phospholipid metabolism","1990 Dec 1",1990
"women and hiv disease","1990 Dec 1",1990
"how aids forces reappraisal of hepatitis b virus control in sub saharan africa","1990 Dec 1",1990
"analysis of lymphocytes monocytes and neutrophils from human immunodeficiency virus hiv infected persons for hiv dna","1990 Dec",1990
"activation of the complement system in human immunodeficiency virus infection relevance of the classical pathway to pathogenesis and disease severity","1990 Dec",1990
"ebv replication and therapy of oral hairy leukoplakia using acyclovir","1990 Dec",1990
"statistics from the world health organization and the centers for disease control","1990 Dec",1990
"prevalence of cytomegalovirus antibody in pregnant women aids patients and std patients in dar es salaam","1990 Dec",1990
"loss of antibodies against hepatitis c virus in hiv seropositive intravenous drug users","1990 Dec",1990
"induction of feline immunodeficiency syndrome by feline leukemia virus pituitary and adrenocortical dysfunctions","1990 Dec",1990
"demonstration of antigenic variation among isolates of human cytomegalovirus using monoclonal antibodies and indirect elisa","1990 Dec",1990
"exposure factors for hiv 1 infection among heterosexual drug abusers in new jersey treatment programs","1990 Dec",1990
"feline immunodeficiency virus fiv infection in the cat as a model for hiv infection in man fiv induced impairment of immune function","1990 Dec",1990
"inhibition of human immunodeficiency virus reverse transcriptase in vitro by extracts of chinese medicinal herbs","1990 Dec",1990
"efficacy of recombinant human granulocyte colony stimulating factor on neutropenia in patients with aids","1990 Dec",1990
"inhibition of hiv replication by hyssop officinalis extracts","1990 Dec",1990
"seral epidemiological study of hiv transmitted through human seral gamma globulin preparations","1990 Dec",1990
"approaches to aids education for the grassroots in nigeria","1990 Dec",1990
"prostitutes and public health services cooperate on aids prevention in brazil","1990 Dec",1990
"self help materials for anxiety a randomized controlled trial in general practice","1990 Dec",1990
"glycosylation governs the binding of antipeptide antibodies to regions of hypervariable amino acid sequence within recombinant gp120 of human immunodeficiency virus type 1","1990 Dec",1990
"effects of isoprinosine treatment of hiv positive patients on blood mononuclear cell subsets nk and t cell function tumour necrosis factor and interleukins 1 2 and 6","1990 Dec",1990
"evolution of sequences encoding the principal neutralization epitope of human immunodeficiency virus 1 is host dependent rapid and continuous","1990 Dec",1990
"anti fas monoclonal antibody is cytocidal to human immunodeficiency virus infected cells without augmenting viral replication","1990 Dec",1990
"interferon in the treatment of aids associated kaposi s sarcoma the american experience","1990 Dec",1990
"establishment of a foreign antigen secretion system in mycobacteria","1990 Dec",1990
"ribavirin is an inhibitor of human immunodeficiency virus reverse transcriptase","1990 Dec",1990
"soluble cd4 enhances simian immunodeficiency virus sivagm infection","1990 Dec",1990
"increased human immunodeficiency virus hiv expression in chronically infected u937 cells upon in vitro differentiation by hydroxyvitamin d3 roles of interferon and tumor necrosis factor in regulation of hiv production","1990 Dec",1990
"neutralization of human immunodeficiency virus type 1 by complement occurs by viral lysis","1990 Dec",1990
"human immunodeficiency virus type 1 infection of u937 cells promotes cell differentiation and a new pathway of viral assembly","1990 Dec",1990
"estimating the infectivity of hiv from partner studies","1990 Dec",1990
"how can epidemiology assist in guiding interventions for the acquired immunodeficiency syndrome human immunodeficiency virus","1990 Dec",1990
"prognostic markers for aids","1990 Dec",1990
"one mann against aids","1990 Nov 30",1990
"update public health surveillance for hiv infection united states 1989 and 1990","1990 Nov 30",1990
"application of capillary dna chromatography to detect aids virus hiv 1 dna in blood","1990 Nov 30",1990
"high performance liquid chromatographic analysis of phosphorothioate analogues of oligodeoxynucleotides in biological fluids","1990 Nov 30",1990
"hiv prevalence estimates and aids case projections for the united states report based upon a workshop","1990 Nov 30",1990
"crystal structure of an hiv binding recombinant fragment of human cd4","1990 Nov 29",1990
"prevalence of the human immunodeficiency virus among university students","1990 Nov 29",1990
"hiv infection why the long latent period","1990 Nov 29",1990
"atomic structure of a fragment of human cd4 containing two immunoglobulin like domains","1990 Nov 29",1990
"hbv hiv and the proscription of intercourse","1990 Nov 28",1990
"cd4 affinity purification of recombinant and native hiv gp120 and comparison of the affinity constants for the receptor","1990 Nov 26",1990
"hiv and surgeons","1990 Nov 24",1990
"course of hiv i infection in a cohort of homosexual and bisexual men an 11 year follow up study","1990 Nov 24",1990
"uk hiv future of social care","1990 Nov 24",1990
"purification of a recombinantly produced transmembrane protein gp41 of hiv i","1990 Nov 23",1990
"dissociation of gp120 from hiv 1 virions induced by soluble cd4","1990 Nov 23",1990
"surveillance for hiv 2 infection in blood donors united states 1987 1989","1990 Nov 23",1990
"detection of a human intracisternal a type retroviral particle antigenically related to hiv","1990 Nov 23",1990
"controlled trial of early adjunctive treatment with corticosteroids for pneumocystis carinii pneumonia in the acquired immunodeficiency syndrome california collaborative treatment group","1990 Nov 22",1990
"corticosteroids as adjunctive therapy for severe pneumocystis carinii pneumonia in the acquired immunodeficiency syndrome a double blind placebo controlled trial","1990 Nov 22",1990
"global prevention of hiv infection steady sexual relations mean safe protection use of condoms is like russian roulette","1990 Nov 21",1990
"feasibility of cellular microencapsulation technology for evaluation of anti human immunodeficiency virus drugs in vivo","1990 Nov 21",1990
"aids non criminalization of the physician patient relations reader opinion on physician confidentiality and hiv infections","1990 Nov 20",1990
"sexual transmission of hepatitis c virus and its relation with hepatitis b virus and hiv","1990 Nov 17",1990
"prevalence of hiv 1 hiv 2 and htlv 1 infections experience in a parisian center for sexually transmitted diseases","1990 Nov 17",1990
"justice versus equity for haemophiliacs with aids","1990 Nov 17",1990
"medical devices patient examination and surgeons gloves adulteration fda final rule","1990 Dec 12",1990
"recombinant interferon alpha 2a in the treatment of hiv associated kaposi sarcoma long term results","1990 Nov 15",1990
"risk for occupational transmission of human immunodeficiency virus type 1 hiv 1 associated with clinical exposures a prospective evaluation","1990 Nov 15",1990
"infection with human immunodeficiency virus type 1 hiv 1 among recipients of antibody positive blood donations","1990 Nov 15",1990
"transmission of human immunodeficiency virus type 1 hiv 1 by exposure to blood defining the risk","1990 Nov 15",1990
"differentiating agents facilitate infection of myeloid leukemia cell lines by monocytotropic hiv 1 strains","1990 Nov 15",1990
"pathogenesis of hiv infection","1990 Nov 15",1990
"aids and hiv infection","1990 Nov 15",1990
"identification of sites within gp41 that serve as targets for antibody dependent cellular cytotoxicity by using human monoclonal antibodies","1990 Nov 15",1990
"generation of neutralization resistant hiv 1 in vitro due to amino acid interchanges of third hypervariable env region","1990 Nov 15",1990
"news of aids therapy gain delayed 5 months by agency","1990 Nov 14",1990
"molecular interactions between hiv and the t lymphocyte","1990 Nov 14",1990
"the nonoxynol content in condoms is insufficient to inhibit the human immunodeficiency virus hiv","1990 Nov 12",1990
"risk of contracting aids virus is changing practices in medicine","1990 Nov 11",1990
"human monoclonal antibody that recognizes the v3 region of human immunodeficiency virus gp120 and neutralizes the human t lymphotropic virus type iiimn strain","1990 Nov",1990
"antibodies to the primary immunodominant domain of human immunodeficiency virus type 1 hiv 1 glycoprotein gp41 enhance hiv 1 infection in vitro","1990 Nov",1990
"surgeons fear threat of aids in the air","1990 Nov 10",1990
